Si,Fe,Cu,Mg,Zn,Ti,Zr,Sc,Mn,Al,SHT_Temperature,SHT_Time,Aging_temperature,Aging_Time,Process,Valence_electrons,Period ,Melting_temperature,Atomic_mass,Heat_of_vaporization,Group,Heat_of_fusion,Electron_negativety,Electron_affinity,Density,Boiling_temperature,Atomic_radius,Atomic_number,Young_modulus,Shear_modulus,Bulk_modulus,Covalent_radius,Poisson_ratio,Mendeleev_number,atomic_volume,Electronegativity_allred,Electronegativity_pauling,Space_group,Work_function,First_ionization_energy,d_valence_electrons,P_valence_electrons,S_valence_electrons,Lattice_a,Lattice_c,YS,El
0,0,0.0424,0.0197,0,0,0.025,0,0.0056,0.9073,0,0,0,0,100000,2.9685,3.098,710.9796,30.2105,296.8125,12.4399,11.02962,1.60905,45.0421,3.068027,2537.3571,122.1175,14.4009,72.6933,27.2301,78.8743,123.3112,0.347976,67.9921,16.684123,1.471622,1.60905,223.5695,4.178475,590.53011,0.502,0.9073,1.9576,173.9950813,174.0107039,445,6
0,0,0,0.014,0.045,0,0.0014,0,0,0.9396,465,10,120,24,5,2.9424,3.0478,650.733,28.7576,283.2618,12.7884,10.53567,1.607208,40.4602,2.89154,2429.1,119.5812,13.7888,71.3558,26.6488,75.3254,121.4006,0.344646,69.463,16.651632,1.47484,1.607208,223.1276,4.18395,594.56484,0.4528,0.9396,2,172.490191,172.5169996,290,13
0.007,0,0,0.012,0,0,0,0,0.0028,0.9782,530,8,170,10,5,2.9978,3.0028,666.7988,27.0214,291.2776,12.8582,10.9581,1.608262,42.9978,2.699126,2503.2366,118.3954,13.0286,69.8974,26.0432,75.9192,121.2204,0.348286,69.0202,16.703962,1.469374,1.608262,224.6196,4.1952,581.1793,0.014,0.9922,2,170.8275074,170.8291172,220,13
0.003,0.001,0.04,0.015,0.002,0,0,0,0,0.939,0,0,215,4,5,2.946,3.043,679.51,28.543,290.709,12.751,10.8763,1.61827,45.5135,2.94879,2497.546,119.55,13.674,72.173,26.8356,78.249,121.723,0.34805,69.269,16.52361,1.47896,1.61827,224.483,4.20078,587.9917,0.426,0.945,1.96,173.4399418,173.4410958,234,1
0.029,0,0.0147,0.019,0.05,0,0,0.005,0,0.8823,515,4,160,6,10000,2.9453,3.0697,680.3285,29.5059,283.3069,12.6906,11.69451,1.617723,43.6379,2.986262,2424.4851,120.2369,14.1352,71.66,27.0232,76.6528,121.5467,0.339593,69.7562,16.73961,1.485536,1.617723,222.764,4.194175,605.6972,0.652,0.9403,1.9853,172.7246709,172.7564078,125,2.1
0,0,0,0.034,0,0,0.0025,0.0075,0.0045,0.9515,0,0,0,0,100000,2.973,3.017,671.892,27.274,287.9665,12.5015,10.70875,1.596955,41.152,2.700085,2475.4105,119.8265,13.1475,69.7485,25.97475,75.054,122.2635,0.347275,68.324,16.90306,1.459775,1.596955,223.6,4.166625,584.0887,0.035,0.9515,2,170.615418,170.6234882,251,0
0,0,0,0.005,0,0,0,0,0.006,0.989,345,2.5,0,0,5,3.001,3.006,663.466,27.093,291.737,12.909,10.705,1.60814,42.527,2.72377,2509.107,118.393,13.067,70.643,26.276,76.109,121.208,0.34952,68.869,16.61789,1.46958,1.60814,224.797,4.19775,579.0415,0.03,0.989,2,171.732705,171.7361364,55,24
0.029,0,0.0147,0.019,0.05,0,0,0.02,0,0.8673,0,0,0,0,10000,2.9453,3.0847,693.5435,29.7759,283.6819,12.5406,11.77401,1.613973,43.2629,2.990462,2429.1501,121.2269,14.2552,71.72,27.0682,76.3678,122.2817,0.338543,68.8862,16.86486,1.481486,1.613973,222.299,4.179925,606.5012,0.667,0.9253,1.9853,172.7703337,172.8103735,273,4.4
0.029,0,0.01,0.03,0.07,0,0.01,0,0,0.851,0,0,0,0,100000,2.929,3.1,680.966,30.609,280.724,12.519,11.6712,1.61231,42.0574,3.07157,2393.669,121.437,14.619,71.813,27.2158,76.196,122.03,0.33723,69.797,16.83439,1.48423,1.61231,221.648,4.18,613.8089,0.82,0.909,1.99,172.8532785,172.8988155,350,6.7
0.008,0,0.044,0.005,0,0,0,0,0.007,0.936,415,2.5,0,0,5,2.966,3.051,688.784,28.747,292.5,12.823,11.1231,1.62316,46.5088,3.00102,2513.589,119.568,13.791,73.227,27.2991,79.161,121.63,0.34801,69.216,16.42956,1.48419,1.62316,224.805,4.213,588.2463,0.475,0.952,1.956,174.6545734,174.6585097,95,18
0.07,0,0,0.005,0,0,0,0,0,0.925,535,4,160,6,100000,3.065,3,712.73,27.055,296.795,13.015,13.441,1.6288,49.127,2.66925,2538.525,117.645,13.065,68.265,25.969,77.525,120.4,0.3406,69.905,16.88305,1.4877,1.6288,224.985,4.23125,592.8385,0,1.065,2,168.7309262,168.7309262,282,6.8
0.105,0,0,0.0035,0,0,0,0,0,0.8915,0,0,0,0,100000,3.1015,3,739.135,27.0945,299.3525,13.0665,14.8195,1.6394,52.3625,2.657755,2554.0035,117.3595,13.1015,67.4975,25.9895,78.4115,120.02,0.33614,70.3615,16.992095,1.49751,1.6394,225.1015,4.249875,599.91655,0,1.1015,2,167.7168066,167.7168066,268,1.4
0.075,0.006,0.005,0.005,0.0005,0,0,0,0,0.9085,0,0,155,20,5,3.0645,3.0115,723.773,27.438,297.397,12.9795,13.665925,1.63304,49.7697,2.73194,2541.891,117.985,13.2305,69.315,26.4245,78.526,120.4715,0.33949,69.892,16.84641,1.491565,1.63304,225.0035,4.23933,595.9799,0.091,1.0585,1.995,169.9572581,169.9575525,179,3
0,0,0,0.0124,0,0,0.005,0.01,0.046,0.9266,0,0,0,0,100000,3.0386,3.066,701.617,28.2908,289.281,12.4426,10.8947,1.59962,40.2288,2.929192,2492.7724,121.4128,13.7546,75.603,28.4144,77.5546,122.836,0.347126,67.2166,16.609228,1.469054,1.59962,223.7826,4.18895,586.77672,0.25,0.9266,2,177.3856769,177.4189858,435,18
0.07,0.004,0.001,0.0035,0.001,0,0,0,0,0.9205,0,0,0,0,1,3.0645,3.006,716.442,27.2505,297.0915,13.0085,13.45535,1.63046,49.1143,2.702085,2540.4675,117.8075,13.1475,68.9645,26.2455,78.0055,120.426,0.34034,69.8485,16.847205,1.48921,1.63046,225.0165,4.235445,593.82265,0.044,1.0605,1.999,169.5630121,169.5636022,124,6
0,0,0.015,0,0,0,0.004,0.008,0,0.973,0,0,0,0,100000,2.989,3.031,678.203,27.955,294.453,12.854,10.8181,1.61123,43.917,2.81134,2529.693,119.285,13.412,70.92,26.382,76.892,121.773,0.34925,68.446,16.63152,1.47104,1.61123,224.628,4.19315,580.6792,0.166,0.973,1.985,172.0299565,172.0364258,130,23
0.008,0,0.044,0,0,0,0,0,0.0025,0.9455,515,8,170,10,5,2.9665,3.0465,686.197,28.681,293.6535,12.905,11.12185,1.62493,46.9173,2.984405,2522.795,119.2395,13.742,72.776,27.10335,79.118,121.449,0.348445,69.3155,16.415055,1.484805,1.62493,224.996,4.215625,586.8148,0.4525,0.9615,1.956,174.145795,174.147205,255,19
0.0047,0,0,0.141,0,0,0.0017,0.0031,0,0.8495,0,0,325,16,100000,2.8654,3.0065,666.8964,26.7463,270.6106,11.4074,10.63665,1.567812,37.28192,2.568819,2323.4788,122.1283,12.9344,66.3742,24.75314,71.7186,124.0167,0.340695,68.6638,17.631938,1.436167,1.567812,220.4896,4.09238,601.29165,0.0065,0.8589,2,166.3965829,166.3992529,375,17
0.0047,0,0,0.141,0,0,0.0017,0.0031,0,0.8495,0,0,325,12,100000,2.8654,3.0065,666.8964,26.7463,270.6106,11.4074,10.63665,1.567812,37.28192,2.568819,2323.4788,122.1283,12.9344,66.3742,24.75314,71.7186,124.0167,0.340695,68.6638,17.631938,1.436167,1.567812,220.4896,4.09238,601.29165,0.0065,0.8589,2,166.3965829,166.3992529,370,16
0.09,0.0005,0.035,0.003,0.0005,0,0,0,0,0.871,0,0,205,8,5,3.0515,3.036,743.024,28.4095,298.63,12.984,14.311375,1.64548,53.61485,2.887695,2549.873,118.427,13.6615,70.0445,26.7975,80.351,120.551,0.33769,70.3735,16.766385,1.50356,1.64548,225.0735,4.251815,602.83535,0.358,1.051,1.965,170.7405876,170.7408807,131,2
0.001,0.0005,0.046,0.0035,0,0,0,0,0.0035,0.9455,525,16,155,20,1,2.955,3.05,682.759,28.77,292.582,12.847,10.8484,1.62248,46.22595,3.003475,2514.9255,119.499,13.7815,73.168,27.19595,79.0605,121.6345,0.349065,69.2025,16.398805,1.48285,1.62248,224.8675,4.210615,586.4791,0.4805,0.9475,1.954,174.6079588,174.6099275,379,8
0.095,0.001,0.006,0.005,0,0,0,0,0,0.893,0,0,0,0,500,3.084,3.007,735.008,27.331,298.541,13.023,14.4404,1.63801,51.8147,2.70273,2548.65,117.67,13.198,68.191,26.162,78.603,120.227,0.33723,70.247,16.93467,1.4963,1.63801,225.039,4.24598,599.2559,0.066,1.083,1.994,168.5642374,168.5642374,172,3
0.002,0,0.0155,0.026,0.055,0.002,0,0,0,0.8995,470,1,150,14,10000,2.9075,3.0725,656.6515,29.6295,279.6445,12.612,10.594,1.609335,40.7899,3.01887,2396.1505,120.5425,14.177,72.416,27.0784,75.972,121.8035,0.342465,69.653,16.64506,1.47879,1.609335,222.431,4.179075,602.8462,0.709,0.9035,1.9845,173.6622154,173.6952191,197,5.3
0,0,0.044,0.015,0,0,0,0,0,0.941,0,0,0,0,10000,2.941,3.044,678.55,28.583,290.833,12.747,10.7712,1.61826,45.655,2.96089,2499.457,119.593,13.689,72.265,26.833,78.351,121.784,0.34866,69.249,16.50185,1.47872,1.61826,224.535,4.19975,587.1965,0.44,0.941,1.956,173.5523349,173.5523349,170,18
0,0.001,0.044,0.0137,0,0,0.0131,0,0.0077,0.9205,475,4,190,6,100000,2.9631,3.0789,699.6077,29.5929,294.2991,12.5922,10.93108,1.61474,45.3263,3.05383,2522.8891,121.0798,14.1484,73.3848,27.40435,79.0992,122.615,0.348316,68.4801,16.54164,1.476928,1.61474,224.1116,4.193555,589.33007,0.5107,0.9205,1.956,174.8201704,174.8309953,402,7
0.04,0,0.014,0.0265,0.0543,0.01,0,0,0,0.8552,490,1,120,8,100000,2.9552,3.0783,692.893,29.7519,283.2373,12.5762,12.149295,1.619182,43.8456,3.006227,2417.1219,120.6967,14.2506,71.7809,27.1806,77.0487,121.7283,0.33734,69.7291,16.794749,1.487177,1.619182,222.2652,4.194195,611.03465,0.703,0.9352,1.986,172.8107548,172.8487966,450,4
0,0,0.0424,0.0197,0,0,0.01,0,0.0056,0.9223,0,0,0,0,100000,2.9535,3.068,693.0546,29.2505,292.5075,12.5749,10.87512,1.61325,45.0721,3.011027,2509.0071,120.7975,13.9959,72.7383,27.1251,78.5593,122.5012,0.348126,68.6671,16.583923,1.475372,1.61325,224.0345,4.189725,589.29111,0.472,0.9223,1.9576,174.0731272,174.0812693,380,8
0.07,0.0015,0.0005,0.0055,0.0005,0,0,0,0,0.922,540,10,205,5,1,3.0635,3.0025,714.1345,27.1345,296.71,13.0005,13.444125,1.629145,49.08055,2.68187,2537.539,117.741,13.099,68.513,26.068,77.6795,120.4325,0.340425,69.885,16.87613,1.48807,1.629145,224.96,4.232045,593.44,0.019,1.062,1.9995,169.0241949,169.024491,296,2
0.07,0.001,0.0005,0.0005,0.0005,0,0,0,0,0.9275,540,12,0,0,1,3.0685,3.002,713.7455,27.135,297.508,13.058,13.452575,1.630535,49.3092,2.684135,2544.513,117.587,13.098,68.5675,26.085,77.7875,120.327,0.340755,69.8995,16.844195,1.489185,1.630535,225.113,4.23543,592.54755,0.016,1.0675,1.9995,169.0978153,169.0981112,62,12
0.17,0.003,0.045,0.005,0.0005,0,0,0,0,0.7765,0,0,0,0,5,3.1195,3.0485,809.769,28.926,303.785,13.0095,17.482125,1.67153,61.4586,2.93168,2578.78,118.286,13.9295,69.107,27.1555,83.084,119.9285,0.32692,71.424,16.99285,1.527905,1.67153,225.1815,4.29464,622.0187,0.473,1.1165,1.955,169.3913567,169.3916521,62,10
0,0,0,0.02,0.06,0,0.003,0.007,0,0.91,0,0,0,0,100000,2.923,3.073,655.152,29.538,280.296,12.623,10.527,1.60381,39.379,2.96036,2401.547,120.706,14.137,71.799,26.882,74.95,121.965,0.34228,69.159,16.74069,1.47396,1.60381,222.21,4.1701,600.969,0.613,0.91,2,172.9614882,173.0015772,286,18
0,0,0,0.0124,0,0,0.005,0.01,0.046,0.9266,0,0,0,0,100000,3.0386,3.066,701.617,28.2908,289.281,12.4426,10.8947,1.59962,40.2288,2.929192,2492.7724,121.4128,13.7546,75.603,28.4144,77.5546,122.836,0.347126,67.2166,16.609228,1.469054,1.59962,223.7826,4.18895,586.77672,0.25,0.9266,2,177.3856769,177.4189858,438,20
0.105,0,0,0.0035,0,0,0,0,0,0.8915,0,0,0,0,100000,3.1015,3,739.135,27.0945,299.3525,13.0665,14.8195,1.6394,52.3625,2.657755,2554.0035,117.3595,13.1015,67.4975,25.9895,78.4115,120.02,0.33614,70.3615,16.992095,1.49751,1.6394,225.1015,4.249875,599.91655,0,1.1015,2,167.7168066,167.7168066,311,7.2
0.1081,0,0.0027,0.0056,0,0.0015,0,0,0,0.8821,505,4,200,4,100000,3.1013,3.0042,744.1109,27.2227,299.4275,13.0276,14.95534,1.640347,52.70246,2.674173,2553.4518,117.5544,13.1592,67.6047,26.05762,78.6446,120.1192,0.335539,70.3409,17.005723,1.498374,1.640347,224.9961,4.249925,601.47589,0.03,1.0983,1.9973,167.8269732,167.8279929,135,27.33
0.07,0.0015,0.001,0.0035,0.001,0,0,0,0,0.923,540,12,245,3,1,3.0645,3.0035,714.247,27.178,296.9565,13.021,13.4476,1.62991,49.18255,2.68916,2539.6125,117.7125,13.1175,68.612,26.1055,77.7705,120.3985,0.34049,69.896,16.85928,1.488785,1.62991,225.0065,4.23362,593.3679,0.029,1.063,1.999,169.1441415,169.1447331,207,6
0.05,0.004,0.0125,0.005,0.002,0,0,0,0,0.9265,0,0,0,0,1,3.0305,3.0185,705.9945,27.6895,295.4305,12.948,12.68945,1.627585,48.0573,2.78446,2529.5865,118.3225,13.327,70.115,26.498,78.209,120.7835,0.342635,69.668,16.73269,1.48686,1.627585,224.899,4.227095,592.1421,0.169,1.0265,1.9875,170.9591097,170.9602804,83,3
0.029,0,0.0147,0.019,0.05,0,0,0.005,0,0.8823,401,1,120,18,10000,2.9453,3.0697,680.3285,29.5059,283.3069,12.6906,11.69451,1.617723,43.6379,2.986262,2424.4851,120.2369,14.1352,71.66,27.0232,76.6528,121.5467,0.339593,69.7562,16.73961,1.485536,1.617723,222.764,4.194175,605.6972,0.652,0.9403,1.9853,172.7246709,172.7564078,137,4.5
0.17,0.003,0.045,0.005,0.0005,0,0,0,0,0.7765,0,0,225,1,1,3.1195,3.0485,809.769,28.926,303.785,13.0095,17.482125,1.67153,61.4586,2.93168,2578.78,118.286,13.9295,69.107,27.1555,83.084,119.9285,0.32692,71.424,16.99285,1.527905,1.67153,225.1815,4.29464,622.0187,0.473,1.1165,1.955,169.3913567,169.3916521,179,0.8
0.0047,0,0,0.141,0,0,0.0017,0.0031,0,0.8495,0,0,325,6,100000,2.8654,3.0065,666.8964,26.7463,270.6106,11.4074,10.63665,1.567812,37.28192,2.568819,2323.4788,122.1283,12.9344,66.3742,24.75314,71.7186,124.0167,0.340695,68.6638,17.631938,1.436167,1.567812,220.4896,4.09238,601.29165,0.0065,0.8589,2,166.3965829,166.3992529,370,16
0,0,0.086,0,0,0,0.009,0,0.0045,0.9005,0,0,0,0,100000,2.9275,3.1085,709.942,30.839,295.8565,12.72,11.00175,1.63215,49.2385,3.294025,2537.647,121.3075,14.673,75.709,28.19575,81.891,122.513,0.348915,69.0165,16.237475,1.492415,1.63215,224.685,4.215875,593.2214,0.9005,0.9005,1.914,177.4534498,177.4603393,270,12
0.0006,0.001,0.05,0,0,0,0.002,0,0.0035,0.9429,515,12,200,4,1,2.9561,3.0585,687.0214,29.0706,293.7621,12.8566,10.87103,1.624124,46.62256,3.042243,2523.8976,119.7103,13.9086,73.5692,27.35737,79.5044,121.726,0.349237,69.1253,16.365141,1.484287,1.624124,224.9152,4.212905,586.76256,0.5275,0.9441,1.95,175.0680755,175.0710299,276,10
0.001,0.0005,0.046,0.0035,0,0,0,0,0.0035,0.9455,525,16,0,0,1,2.955,3.05,682.759,28.77,292.582,12.847,10.8484,1.62248,46.22595,3.003475,2514.9255,119.499,13.7815,73.168,27.19595,79.0605,121.6345,0.349065,69.2025,16.398805,1.48285,1.62248,224.8675,4.210615,586.4791,0.4805,0.9475,1.954,174.6079588,174.6099275,255,17
0.0525,0,0.0112,0.0055,0,0,0,0,0,0.9308,450,6,0,0,10000,3.0358,3.0112,704.29,27.4504,295.6359,12.9696,12.77801,1.626823,48.36,2.745352,2531.6246,118.0834,13.2262,69.327,26.2074,77.8063,120.7082,0.342733,69.7442,16.77305,1.485991,1.626823,224.9345,4.224925,591.141,0.112,1.0358,1.9888,170.0257122,170.0257122,124,17.4
0.029,0,0.0147,0.019,0.05,0,0,0.015,0,0.8723,0,0,0,0,10000,2.9453,3.0797,689.1385,29.6859,283.5569,12.5906,11.74751,1.615223,43.3879,2.989062,2427.5951,120.8969,14.2152,71.7,27.0532,76.4628,122.0367,0.338893,69.1762,16.82311,1.482836,1.615223,222.454,4.184675,606.2332,0.662,0.9303,1.9853,172.7551141,172.7923868,184,2.5
0.007,0,0.003,0.01,0,0,0,0,0,0.98,515,4,160,6,10000,2.994,3.003,666.453,27.088,291.833,12.891,10.962,1.6099,43.4292,2.70649,2507.506,118.302,13.045,69.769,25.9774,76.05,121.163,0.34846,69.099,16.68817,1.47033,1.6099,224.704,4.19675,580.9707,0.03,0.994,1.997,170.6776388,170.6776388,230,12
0.003,0,0,0.05,0,0,0,0.002,0.05,0.895,0,0,325,1,10000,3.003,3.052,692.824,27.789,281.348,12.133,10.8535,1.59237,38.9218,2.88945,2426.415,121.611,13.569,75.089,28.2316,76.684,122.968,0.34497,67.823,16.75993,1.46477,1.59237,222.994,4.1746,593.1495,0.252,0.901,2,176.7490458,176.7779107,211,3.61
0.1,0,0,0.0035,0,0,0,0,0,0.8965,0,0,0,0,10000,3.0965,3,735.365,27.0895,299.0225,13.0615,14.623,1.63795,51.9095,2.659605,2552.0985,117.3945,13.0965,67.6125,25.9885,78.2915,120.07,0.33679,70.2965,16.975045,1.49616,1.63795,225.0915,4.247375,598.87105,0,1.0965,2,167.8688557,167.8688557,200,5
0.17,0.003,0.045,0.005,0.0005,0,0,0,0,0.7765,540,10,0,0,5,3.1195,3.0485,809.769,28.926,303.785,13.0095,17.482125,1.67153,61.4586,2.93168,2578.78,118.286,13.9295,69.107,27.1555,83.084,119.9285,0.32692,71.424,16.99285,1.527905,1.67153,225.1815,4.29464,622.0187,0.473,1.1165,1.955,169.3913567,169.3916521,262,0.8
0,0,0,0.051,0,0,0,0,0.008,0.941,345,2.5,0,0,5,2.957,3.008,664.178,26.991,284.001,12.391,10.618,1.59422,40.463,2.68869,2442.457,119.721,13.045,69.749,25.969,74.771,122.164,0.3467,68.781,16.92509,1.4588,1.59422,223.355,4.16375,586.6953,0.04,0.941,2,170.6007239,170.6053294,160,24
0,0,0.044,0.015,0,0,0,0,0,0.941,0,0,0,0,10000,2.941,3.044,678.55,28.583,290.833,12.747,10.7712,1.61826,45.655,2.96089,2499.457,119.593,13.689,72.265,26.833,78.351,121.784,0.34866,69.249,16.50185,1.47872,1.61826,224.535,4.19975,587.1965,0.44,0.941,1.956,173.5523349,173.5523349,91,5.3
0,0,0.063,0,0,0,0,0.002,0,0.935,530,20,175,8,10000,2.937,3.065,688.537,29.367,293.491,12.854,10.8555,1.62777,47.675,3.09494,2522.331,119.833,14.024,73.788,27.392,79.994,121.791,0.34923,69.262,16.3243,1.4871,1.62777,224.938,4.21385,588.0912,0.632,0.935,1.937,175.3068016,175.307894,325,13.5
0,0,0,0.0132,0,0,0.0074,0.0079,0.0452,0.9263,0,0,300,5,100000,3.0394,3.0679,702.1581,28.3898,289.8437,12.438,10.90469,1.599281,40.2765,2.933132,2495.8785,121.4726,13.7922,75.465,28.3749,77.5849,122.8643,0.347225,67.2464,16.616749,1.468725,1.599281,223.7549,4.188345,586.87864,0.2487,0.9263,2,177.2274861,177.2604214,556,18
0,0,0.086,0,0,0,0.009,0,0.0045,0.9005,0,0,400,200,100000,2.9275,3.1085,709.942,30.839,295.8565,12.72,11.00175,1.63215,49.2385,3.294025,2537.647,121.3075,14.673,75.709,28.19575,81.891,122.513,0.348915,69.0165,16.237475,1.492415,1.63215,224.685,4.215875,593.2214,0.9005,0.9005,1.914,177.4534498,177.4603393,213,11.7
0.009,0,0,0.006,0,0,0,0,0.006,0.979,515,8,170,10,5,3.009,3.006,670.242,27.099,292.166,12.907,11.0567,1.61045,43.2994,2.71947,2511.107,118.357,13.075,70.411,26.2688,76.294,121.138,0.34829,68.985,16.65545,1.47177,1.61045,224.784,4.2015,581.0837,0.03,0.997,2,171.434018,171.4374554,295,17
0.001,0.0005,0.046,0.0035,0,0,0,0,0.0035,0.9455,525,16,200,5,5,2.955,3.05,682.759,28.77,292.582,12.847,10.8484,1.62248,46.22595,3.003475,2514.9255,119.499,13.7815,73.168,27.19595,79.0605,121.6345,0.349065,69.2025,16.398805,1.48285,1.62248,224.8675,4.210615,586.4791,0.4805,0.9475,1.954,174.6079588,174.6099275,379,8
0.0017,0,0,0.045,0,0,0.0037,0.0066,0,0.943,0,0,325,4,100000,2.9604,3.014,671.0679,27.2223,286.9141,12.4074,10.7499,1.594307,41.04662,2.671629,2464.3883,119.9643,13.1094,68.8512,25.64104,74.5981,122.4062,0.34658,68.4278,17.004773,1.456952,1.594307,223.2891,4.158055,585.62835,0.014,0.9464,2,169.5323985,169.538019,520,14
0.12,0.006,0.01,0.01,0.002,0,0,0,0,0.852,0,0,205,8,5,3.098,3.018,759.418,27.71,299.316,12.958,15.4309,1.6461,53.9422,2.7484,2549.688,117.976,13.376,68.512,26.524,79.762,120.178,0.33314,70.52,17.00808,1.5042,1.6461,224.892,4.25918,607.5244,0.156,1.092,1.99,168.8598864,168.8610716,193,0.5
0,0,0,0.04,0,0,0.004,0.007,0.005,0.944,0,0,0,0,100000,2.969,3.02,673.477,27.352,287.358,12.424,10.7108,1.59483,40.882,2.70221,2469.287,120.109,13.184,69.656,25.9565,74.931,122.449,0.34692,68.269,16.94792,1.45816,1.59483,223.379,4.1616,585.2176,0.04,0.944,2,170.4936774,170.5025236,336,11.2
0,0,0.044,0.015,0,0,0,0,0,0.941,0,0,0,0,10000,2.941,3.044,678.55,28.583,290.833,12.747,10.7712,1.61826,45.655,2.96089,2499.457,119.593,13.689,72.265,26.833,78.351,121.784,0.34866,69.249,16.50185,1.47872,1.61826,224.535,4.19975,587.1965,0.44,0.941,1.956,173.5523349,173.5523349,163,18.7
0,0,0,0.0132,0,0,0.0074,0.0079,0.0452,0.9263,0,0,400,6,100000,3.0394,3.0679,702.1581,28.3898,289.8437,12.438,10.90469,1.599281,40.2765,2.933132,2495.8785,121.4726,13.7922,75.465,28.3749,77.5849,122.8643,0.347225,67.2464,16.616749,1.468725,1.599281,223.7549,4.188345,586.87864,0.2487,0.9263,2,177.2274861,177.2604214,470,12.5
0.003,0.001,0.04,0.015,0.002,0,0,0,0,0.939,0,0,0,0,1,2.946,3.043,679.51,28.543,290.709,12.751,10.8763,1.61827,45.5135,2.94879,2497.546,119.55,13.674,72.173,26.8356,78.249,121.723,0.34805,69.269,16.52361,1.47896,1.61827,224.483,4.20078,587.9917,0.426,0.945,1.96,173.4399418,173.4410958,217,0.5
0.029,0,0.0147,0.019,0.05,0,0,0.02,0,0.8673,0,0,0,0,10000,2.9453,3.0847,693.5435,29.7759,283.6819,12.5406,11.77401,1.613973,43.2629,2.990462,2429.1501,121.2269,14.2552,71.72,27.0682,76.3678,122.2817,0.338543,68.8862,16.86486,1.481486,1.613973,222.299,4.179925,606.5012,0.667,0.9253,1.9853,172.7703337,172.8103735,180,1.4
0.011,0.001,0.045,0,0,0,0,0,0,0.943,515,14,515,12,1,2.966,3.046,688.297,28.705,294.095,12.916,11.2389,1.62646,47.3443,2.9828,2525.468,119.176,13.743,72.588,27.0482,79.238,121.396,0.34806,69.394,16.42668,1.48574,1.62646,225.026,4.21748,587.442,0.456,0.965,1.955,173.9206764,173.9206764,110,8.5
0.001,0.006,0.007,0.0035,0.075,0,0,0,0,0.9075,0,0,155,4,5,2.9155,3.088,650.962,30.2735,279.8115,12.8435,10.51575,1.61559,40.0763,3.104075,2395.8325,120.3045,14.4565,74.0055,27.7337,76.4775,121.278,0.34173,69.8375,16.468375,1.48666,1.61559,222.5925,4.196505,605.11255,0.856,0.9095,1.993,175.5219001,175.5646545,76,12
0.12,0,0.025,0,0,0,0,0,0,0.855,0,0,0,0,100000,3.095,3.025,761.105,28.045,301.095,13.07,15.4735,1.65205,55.747,2.8121,2565.795,117.835,13.52,68.74,26.574,80.48,120.075,0.33415,70.71,16.8992,1.5094,1.65205,225.24,4.26625,606.692,0.25,1.095,1.975,169.1314518,169.1314518,280,5
0,0,0,0.044,0,0,0.0033,0.0066,0.005,0.9411,0,0,325,4,100000,2.9643,3.0182,672.2481,27.288,286.4871,12.3903,10.69347,1.593926,40.7214,2.695558,2462.1236,120.129,13.1579,69.5565,25.9144,74.7999,122.4716,0.346715,68.3197,16.967384,1.457483,1.593926,223.2891,4.159505,585.77954,0.0382,0.9411,2,170.3711448,170.3794163,440,14
0.113,0.001,0.037,0.001,0.001,0,0,0,0,0.847,0,0,0,0,500,3.074,3.039,761.555,28.546,300.432,13.022,15.22375,1.65346,55.8995,2.89845,2560.945,118.297,13.733,69.775,26.9006,81.137,120.309,0.33472,70.683,16.81835,1.51099,1.65346,225.168,4.26563,607.9155,0.386,1.073,1.963,170.3587584,170.3593458,172,1
0,0,0,0.036,0,0,0.0118,0,0,0.9522,0,0,0,0,100000,2.9758,3.0236,673.741,27.6472,290.4466,12.4978,10.74954,1.595896,41.4284,2.70992,2489.858,120.0104,13.2826,69.0646,25.7586,75.1318,122.3572,0.347722,68.433,16.936144,1.45841,1.595896,223.5182,4.16415,584.14548,0.0236,0.9522,2,169.8023958,169.8084231,221,25
0,0,0,0.036,0,0,0.0118,0,0,0.9522,0,0,400,10,100000,2.9758,3.0236,673.741,27.6472,290.4466,12.4978,10.74954,1.595896,41.4284,2.70992,2489.858,120.0104,13.2826,69.0646,25.7586,75.1318,122.3572,0.347722,68.433,16.936144,1.45841,1.595896,223.5182,4.16415,584.14548,0.0236,0.9522,2,169.8023958,169.8084231,350,17
0.001,0.006,0.007,0.0035,0.075,0,0,0,0,0.9075,0,0,220,8,1,2.9155,3.088,650.962,30.2735,279.8115,12.8435,10.51575,1.61559,40.0763,3.104075,2395.8325,120.3045,14.4565,74.0055,27.7337,76.4775,121.278,0.34173,69.8375,16.468375,1.48666,1.61559,222.5925,4.196505,605.11255,0.856,0.9095,1.993,175.5219001,175.5646545,172,5
0,0,0.021,0.03,0.074,0,0,0,0.0045,0.8705,415,2.5,0,0,5,2.8795,3.0995,653.502,30.58,274.9925,12.527,10.45165,1.60978,39.9095,3.152385,2355.684,121.3465,14.618,73.898,27.69075,76.168,121.986,0.340455,69.8895,16.590375,1.483325,1.60978,221.74,4.176475,610.713,0.9725,0.8705,1.979,175.3366225,175.3813715,150,14
0,0,0,0.0334,0,0,0,0.0023,0.0051,0.9592,0,0,0,0,10000,2.9717,3.0074,664.6809,27.033,287.1742,12.579,10.65814,1.599099,41.287,2.692573,2469.6509,119.2729,13.0462,69.827,25.97915,75.1453,121.8725,0.347682,68.7261,16.836172,1.462026,1.599099,223.8525,4.17404,583.5913,0.0278,0.9592,2,170.7215141,170.725738,131,30
